name,scenario,repetition,NumberofVehicles,Type,NodeID,TR,recAddress,x,y,MsgId,CH,Reroute,Speed,Hops,SumoDistance,MsgTime,DistanceToAccident,Delay
"BCN,100-,0",BCN,0,100,node,90,tx,-1,1191.02,622.136,9015077,176,0,6,1,1108.89,19.7907,549.1806479984524,7.1317
"BCN,200-,1",BCN,1,200,node,108,rx,-1,787.442,1358.25,77189829,176,1,4,3,353.436,14.3544,328.43441071848724,2.0723000000000003
"BCN,150-,0",BCN,0,150,node,89,rx,-1,1132.45,1425.62,25079893,176,1,8,3,382.181,17.0545,289.873911382173,4.0654
"BCN,100-,0",BCN,0,100,node,96,rx,-1,1176.97,607.745,9015077,176,0,2,5,1129.01,19.7909,559.4813587823996,7.1319
"BCN,150-,2",BCN,2,150,node,6,rx,-1,1008.41,1165.43,47312870,176,0,4,2,1913.28,14.8543,32.47729822506809,2.6861999999999995
"BCN,200-,0",BCN,0,200,node,91,rx,-1,751.1160000000001,1435.25,56245784,176,0,10,2,409.07599999999996,15.374,407.64356461987705,2.9213000000000005
"BCN,200-,2",BCN,2,200,node,73,rx,-1,887.691,1457.78,93795832,176,1,7,4,432.57,15.7545,344.6410550137636,2.9945000000000004
"BCN,100-,2",BCN,2,100,node,41,rx,-1,1469.74,1472.17,20762704,176,0,0,7,673.6339999999999,22.4544,535.7584270919125,9.5014
"BCN,150-,0",BCN,0,150,node,30,rx,-1,1134.05,949.8439999999999,25079893,176,0,9,3,824.28,17.0545,220.37830373246828,4.0654
"BCN,150-,1",BCN,1,150,node,128,rx,-1,716.074,1282.86,35157137,176,0,0,3,456.38599999999997,16.0544,350.5327069704053,2.983500000000001
"BCN,200-,1",BCN,1,200,node,75,rx,-1,732.5310000000001,1300.32,77189829,176,0,6,3,433.56199999999995,14.3544,343.6697651830895,2.0723000000000003
"BCN,100-,2",BCN,2,100,node,62,rx,-1,1560.37,1191.7,20762704,176,0,11,7,845.7289999999999,22.4544,522.0169242467144,9.5014
"BCN,100-,0",BCN,0,100,node,11,rx,-1,1214.81,646.526,9015077,176,0,8,5,1074.82,19.7909,532.9957343318989,7.1319
"BCN,200-,2",BCN,2,200,node,116,rx,-1,963.051,1485.75,93795832,176,1,12,4,684.8530000000001,15.7545,345.155974627414,2.9945000000000004
"BCN,150-,0",BCN,0,150,node,64,tx,-1,978.84,1489.32,25079893,176,0,12,1,700.263,17.1397,345.02385598679973,4.150600000000001
"BCN,150-,2",BCN,2,150,node,56,rx,-1,1029.33,1162.74,47312870,176,1,4,2,13.0519,14.8543,13.053957254411587,2.6861999999999995
"BCN,200-,1",BCN,1,200,node,157,rx,-1,718.2769999999999,1285.2,77189829,176,0,1,3,454.341,14.3544,350.46817246220803,2.0723000000000003
"BCN,200-,0",BCN,0,200,node,121,rx,-1,873.02,1313.18,56245784,176,0,4,2,235.77,15.374,235.1461488096286,2.9213000000000005
"BCN,150-,1",BCN,1,150,node,100,tx,-1,1063.5,872.9630000000001,35157137,176,0,5,1,1254.09,16.0559,279.26567914622075,2.985000000000001
"BCN,150-,1",BCN,1,150,node,60,rx,-1,1052.3,861.505,35157137,176,0,7,3,1237.97,16.0561,290.03560182329335,2.9852000000000007
"BCN,200-,2",BCN,2,200,node,17,rx,-1,971.722,1500.08,93795832,176,0,8,4,597.164,15.7545,357.2984162069572,2.9945000000000004
"BCN,150-,2",BCN,2,150,node,77,rx,-1,758.3639999999999,1430.6,47312870,176,0,9,2,395.901,14.8543,394.06764357911965,2.6861999999999995
"BCN,200-,0",BCN,0,200,node,107,rx,-1,737.3839999999999,1305.47,56245784,176,0,8,2,427.204,15.374,342.29515558359867,2.9213000000000005
"BCN,150-,0",BCN,0,150,node,110,rx,-1,983.2710000000001,1486.1,25079893,176,1,10,4,704.645,17.1545,341.0659084121424,4.165399999999998
"BCN,100-,2",BCN,2,100,node,92,tx,-1,1448.56,1466.52,20762704,176,0,0,1,688.363,23.1234,515.455038291411,10.1704
"BCN,200-,1",BCN,1,200,node,115,tx,-1,794.074,1360.22,77189829,176,0,2,1,890.2489999999999,14.3662,324.5940844131328,2.0840999999999994
"BCN,100-,0",BCN,0,100,node,20,tx,-1,863.7289999999999,904.265,9015077,176,1,12,1,765.362,19.7921,303.92918515009393,7.133100000000001
"BCN,150-,2",BCN,2,150,node,93,rx,-1,1072.87,1078.02,47312870,176,0,0,2,464.399,14.8543,82.97091177033053,2.6861999999999995
"BCN,100-,2",BCN,2,100,node,70,rx,-1,1453.95,1471.74,20762704,176,0,0,8,680.855,23.1546,522.9102148552848,10.2016
"BCN,100-,0",BCN,0,100,node,85,rx,-1,843.112,924.3689999999999,9015077,176,1,12,4,794.158,19.7923,301.0568147792043,7.1333
"BCN,200-,1",BCN,1,200,node,108,rx,-1,787.442,1358.25,77189829,176,1,4,2,353.436,14.3664,328.43441071848724,2.0843000000000007
"BCN,200-,2",BCN,2,200,node,16,rx,-1,844.4010000000001,1413.62,93795832,176,1,12,4,370.722,15.7545,329.86147019771795,2.9945000000000004
"BCN,150-,0",BCN,0,150,node,55,rx,-1,953.1289999999999,1485.58,25079893,176,1,10,4,674.4910000000001,17.1545,347.0398492983189,4.165399999999998
